Date,Wake Time,Sleep Time,hrs_sleep,Temp Min,OF_30 min after wake,OF_start 2-4,OF_end 2-4,OF_11 Hours after wake
8/28/23,7:00 AM,10:30 PM,8:30,5:00 AM,7:30 AM,9:00 AM,11:00 AM,6:00 PM
8/29/23,6:00 AM,11:15 PM,6:45,4:00 AM,6:30 AM,8:00 AM,10:00 AM,5:00 PM
8/30/23,6:15 AM,10:45 PM,7:30,4:15 AM,6:45 AM,8:15 AM,10:15 AM,5:15 PM
8/31/23,6:30 AM,11:30 PM,7:00,4:30 AM,7:00 AM,8:30 AM,10:30 AM,5:30 PM
9/1/23,6:15 AM,10:30 PM,7:45,4:15 AM,6:45 AM,8:15 AM,10:15 AM,5:15 PM
9/2/23,6:45 AM,11:15 PM,7:30,4:45 AM,7:15 AM,8:45 AM,10:45 AM,5:45 PM
9/3/23,6:30 AM,10:30 PM,8:00,4:30 AM,7:00 AM,8:30 AM,10:30 AM,5:30 PM
9/4/23,5:30 AM,10:30 PM,7:00,3:30 AM,6:00 AM,7:30 AM,9:30 AM,4:30 PM
9/5/23,5:30 AM,10:15 PM,7:15,3:30 AM,6:00 AM,7:30 AM,9:30 AM,4:30 PM
9/6/23,5:15 AM,10:30 PM,6:45,3:15 AM,5:45 AM,7:15 AM,9:15 AM,4:15 PM
9/7/23,5:30 AM,11:15 PM,6:15,3:30 AM,6:00 AM,7:30 AM,9:30 AM,4:30 PM
9/8/23,5:30 AM,10:45 PM,6:45,3:30 AM,6:00 AM,7:30 AM,9:30 AM,4:30 PM
9/9/23,5:30 AM,11:30 PM,6:00,3:30 AM,6:00 AM,7:30 AM,9:30 AM,4:30 PM
9/10/23,5:15 AM,10:30 PM,6:45,3:15 AM,5:45 AM,7:15 AM,9:15 AM,4:15 PM
9/11/23,6:30 AM,11:15 PM,7:15,4:30 AM,7:00 AM,8:30 AM,10:30 AM,5:30 PM
9/12/23,5:30 AM,11:15 PM,6:15,3:30 AM,6:00 AM,7:30 AM,9:30 AM,4:30 PM
9/13/23,6:30 AM,12:00 AM,6:30,4:30 AM,7:00 AM,8:30 AM,10:30 AM,5:30 PM
9/14/23,5:45 AM,9:45 PM,8:00,3:45 AM,6:15 AM,7:45 AM,9:45 AM,4:45 PM
9/15/23,5:30 AM,10:00 PM,7:30,3:30 AM,6:00 AM,7:30 AM,9:30 AM,4:30 PM
9/16/23,7:00 AM,11:00 PM,8:00,5:00 AM,7:30 AM,9:00 AM,11:00 AM,6:00 PM
9/17/23,7:30 AM,11:45 PM,7:45,5:30 AM,8:00 AM,9:30 AM,11:30 AM,6:30 PM
9/18/23,5:00 AM,10:00 PM,7:00,3:00 AM,5:30 AM,7:00 AM,9:00 AM,4:00 PM
9/19/23,6:15 AM,10:15 PM,8:00,4:15 AM,6:45 AM,8:15 AM,10:15 AM,5:15 PM
9/20/23,5:00 AM,9:30 PM,7:30,3:00 AM,5:30 AM,7:00 AM,9:00 AM,4:00 PM
9/21/23,6:00 AM,11:15 PM,6:45,4:00 AM,6:30 AM,8:00 AM,10:00 AM,5:00 PM
9/22/23,6:00 AM,11:15 PM,6:45,4:00 AM,6:30 AM,8:00 AM,10:00 AM,5:00 PM
9/23/23,8:00 AM,11:45 PM,8:15,6:00 AM,8:30 AM,10:00 AM,12:00 PM,7:00 PM
9/24/23,6:00 AM,11:30 PM,6:30,4:00 AM,6:30 AM,8:00 AM,10:00 AM,5:00 PM
9/25/23,6:00 AM,10:45 PM,7:15,4:00 AM,6:30 AM,8:00 AM,10:00 AM,5:00 PM
9/26/23,6:30 AM,10:30 PM,8:00,4:30 AM,7:00 AM,8:30 AM,10:30 AM,5:30 PM
9/27/23,6:30 AM,10:30 PM,8:00,4:30 AM,7:00 AM,8:30 AM,10:30 AM,5:30 PM
9/28/23,5:30 AM,10:00 PM,7:30,3:30 AM,6:00 AM,7:30 AM,9:30 AM,4:30 PM
